code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
165309,建信沪深300指数(LOF),0.12%,100元起购,3.11%,6.72%,7.29%,18.32%,27.72%,32.76%,股票指数,5.54亿元（2019-12-31）,2009-11-05,建信基金
166007,中欧互通精选混合A,0.15%,100元起购,3.29%,9.42%,11.91%,23.46%,27.33%,63.72%,混合型,0.64亿元（2019-12-31）,2010-06-24,中欧基金
166006,中欧行业成长混合(LOF)A,0.15%,10元起购,9.96%,27.06%,38.89%,68.84%,96.05%,135.40%,混合型,57.56亿元（2019-12-31）,2009-12-30,中欧基金
166005,中欧价值发现混合A,0.15%,10元起购,3.54%,12.02%,10.23%,16.80%,25.43%,197.93%,混合型,27.11亿元（2019-12-31）,2009-07-24,中欧基金
166002,中欧新蓝筹混合A,0.15%,100元起购,8.94%,12.92%,20.79%,48.97%,65.88%,458.42%,混合型,81.51亿元（2019-12-31）,2008-07-25,中欧基金
167301,方正富邦保险主题指数分级,0.08%,100元起购,-2.01%,-1.01%,-5.82%,14.40%,39.73%,43.41%,股票指数,5.29亿元（2019-12-31）,2015-07-31,方正富邦基金
167003,平安鼎弘混合(LOF),0.12%,100元起购,3.56%,2.97%,1.67%,3.77%,--,10.59%,混合型,2.06亿元（2019-12-31）,2017-04-26,平安基金
167002,平安鼎越混合(LOF),0.15%,100元起购,17.06%,41.74%,57.60%,65.91%,54.09%,53.55%,混合型,0.32亿元（2019-12-31）,2016-09-20,平安基金
168601,汇安裕阳定开混合,0.15%,100元起购,12.58%,22.41%,22.90%,22.91%,--,23.76%,混合型,2.25亿元（2019-12-31）,2018-09-27,汇安基金
168501,北信瑞丰产业升级,0.15%,100元起购,14.84%,49.62%,59.20%,73.78%,--,53.36%,混合型,0.66亿元（2019-12-31）,2017-06-23,北信瑞丰
168401,红土创新转型精选灵(LOF),0.15%,100元起购,10.79%,24.02%,24.75%,50.05%,54.36%,56.20%,混合型,0.32亿元（2019-12-31）,2016-12-30,红土创新基金
168301,东海祥龙混合(LOF),0.15%,100元起购,12.21%,14.67%,16.55%,39.06%,22.60%,22.86%,混合型,1.39亿元（2019-12-31）,2016-12-21,东海基金
200009,长城稳健增利债券A,0.08%,100元起购,0.52%,1.22%,1.42%,1.82%,5.94%,68.91%,债券型,12.24亿元（2019-12-31）,2008-08-27,长城基金
200008,长城品牌优选混合,0.15%,100元起购,1.19%,0.80%,0.26%,33.12%,39.94%,60.37%,混合型,37.14亿元（2019-12-31）,2007-08-06,长城基金
200007,长城安心回报混合,0.15%,100元起购,16.30%,24.45%,28.69%,55.24%,48.66%,318.07%,混合型,16.04亿元（2019-12-31）,2006-08-22,长城基金
200006,长城消费增值混合,0.12%,100元起购,9.18%,15.26%,20.67%,45.55%,39.73%,279.25%,混合型,16.24亿元（2019-12-31）,2006-04-06,长城基金
202303,南方理财14天债券A,0.00%,100元起购,0.21%,0.67%,1.31%,2.62%,10.94%,32.93%,理财型,4.67亿元（2019-12-31）,2012-08-14,南方基金
202302,南方现金增利货币B,0.00%,10000000元起购,0.22%,0.69%,1.32%,2.65%,10.75%,47.71%,货币型,187.17亿元（2019-12-31）,2009-07-22,南方基金
202213,南方核心竞争混合,0.15%,100元起购,10.08%,18.82%,25.74%,36.32%,42.54%,121.22%,混合型,1.59亿元（2019-12-31）,2012-12-21,南方基金
210010,金鹰灵活配置混合A,0.08%,100元起购,2.49%,4.57%,6.26%,9.07%,26.38%,65.63%,混合型,3.82亿元（2019-12-31）,2012-11-29,金鹰基金
202301,南方现金增利货币A,0.00%,100元起购,0.20%,0.63%,1.20%,2.40%,9.96%,66.29%,货币型,94.84亿元（2019-12-31）,2004-03-05,南方基金
210009,金鹰核心资源混合,0.15%,100元起购,16.86%,49.43%,57.94%,56.05%,3.00%,42.64%,混合型,8.03亿元（2019-12-31）,2012-05-23,金鹰基金
210008,金鹰策略配置混合,0.15%,100元起购,23.49%,60.06%,68.27%,73.16%,53.40%,139.29%,混合型,0.53亿元（2019-12-31）,2011-09-01,金鹰基金
210007,金鹰技术领先灵活配置混合A,0.15%,100元起购,0.39%,4.06%,4.34%,-4.94%,-35.54%,11.77%,混合型,3.38亿元（2019-12-31）,2011-06-01,金鹰基金
217022,招商产业债券A,0.08%,100元起购,0.95%,2.34%,3.41%,6.53%,20.36%,85.89%,债券型,67.51亿元（2019-12-31）,2012-03-21,招商基金
217021,招商优势企业混合,0.15%,100元起购,15.49%,29.89%,32.88%,46.24%,44.09%,193.80%,混合型,0.76亿元（2019-12-31）,2012-02-01,招商基金
217020,招商安达灵活配置混合,0.15%,100元起购,18.63%,39.94%,48.09%,86.27%,79.18%,176.51%,混合型,1.57亿元（2019-12-31）,2011-09-01,招商基金
217019,招商深证TMT50ETF联接A,0.15%,100元起购,18.12%,39.96%,49.15%,59.55%,40.10%,94.04%,联接基金,3.15亿元（2019-12-31）,2011-06-27,招商基金
253010,国联安安心成长混合,0.15%,100元起购,1.78%,3.30%,5.20%,12.42%,2.99%,140.56%,混合型,3.67亿元（2019-12-31）,2005-07-13,国联安基金
241001,华宝海外中国成长混合,0.15%,100元起购,4.07%,13.24%,19.39%,21.00%,37.45%,89.00%,QDII,3.58亿元（2019-12-31）,2008-05-07,华宝基金
240022,华宝资源优选混合,0.15%,100元起购,5.02%,13.32%,11.57%,22.38%,29.94%,71.39%,混合型,5.08亿元（2019-12-31）,2012-08-21,华宝基金
240020,华宝医药生物混合,0.15%,100元起购,7.86%,17.26%,27.60%,68.36%,77.64%,233.82%,混合型,6.30亿元（2019-12-31）,2012-02-28,华宝基金
270008,广发核心精选混合,0.15%,100元起购,5.97%,11.44%,11.36%,22.71%,9.35%,273.08%,混合型,9.00亿元（2019-12-31）,2008-07-16,广发基金
270007,广发大盘成长混合,0.15%,100元起购,2.27%,0.30%,3.85%,40.65%,28.72%,40.75%,混合型,38.61亿元（2019-12-31）,2007-06-13,广发基金
270006,广发策略优选混合,0.15%,100元起购,7.77%,15.20%,18.95%,42.33%,19.70%,363.88%,混合型,34.91亿元（2019-12-31）,2006-05-17,广发基金
290006,泰信蓝筹精选混合,0.15%,1000元起购,11.27%,16.67%,14.51%,21.28%,-13.24%,60.37%,混合型,0.84亿元（2019-12-31）,2009-04-22,泰信基金
290007,泰信债券增强收益A,0.08%,1000元起购,0.99%,2.78%,2.43%,3.97%,9.07%,46.91%,债券型,0.02亿元（2019-12-31）,2009-07-29,泰信基金
290005,泰信优势增长混合,0.15%,1000元起购,14.53%,33.00%,40.97%,49.53%,16.03%,159.55%,混合型,0.64亿元（2019-12-31）,2008-06-25,泰信基金
290004,泰信优质生活混合,0.15%,1000元起购,10.37%,19.41%,24.77%,40.81%,-6.52%,55.92%,混合型,3.96亿元（2019-12-31）,2006-12-15,泰信基金
290003,泰信双息双利债券,0.00%,1000元起购,1.29%,2.80%,3.41%,4.75%,9.45%,64.92%,债券型,0.45亿元（2019-12-31）,2006-06-15,泰信基金
320019,诺安货币B,0.00%,5000000元起购,0.20%,0.60%,1.23%,2.42%,10.10%,32.18%,货币型,2.05亿元（2019-12-31）,2012-02-21,诺安基金
320017,诺安全球收益不动产,0.15%,100元起购,1.35%,3.56%,1.91%,8.73%,6.56%,65.70%,QDII,0.47亿元（2019-12-31）,2011-09-23,诺安基金
370021,上投摩根分红添利债券A,0.08%,1000元起购,0.82%,1.92%,2.57%,3.99%,8.85%,50.22%,债券型,0.60亿元（2019-12-31）,2012-06-25,上投摩根基金
370010,上投摩根货币A,0.00%,100元起购,0.19%,0.55%,1.10%,2.14%,8.78%,42.95%,货币型,0.71亿元（2019-12-31）,2005-04-13,上投摩根基金
360020,光大添天盈理财债券B,0.00%,5000000元起购,0.24%,0.72%,1.40%,2.84%,12.02%,29.60%,理财型,175.24亿元（2019-12-31）,2012-10-25,光大保德信基金
360019,光大添天盈理财债券A,0.00%,100元起购,0.22%,0.66%,1.28%,2.60%,11.23%,30.04%,理财型,0.86亿元（2019-12-31）,2012-10-25,光大保德信基金
398011,中海分红增利混合,0.15%,100元起购,13.81%,31.47%,48.53%,73.55%,105.98%,345.72%,混合型,5.72亿元（2019-12-31）,2005-06-16,中海基金
320018,诺安新动力混合,0.15%,100元起购,9.09%,20.68%,22.44%,42.20%,53.52%,162.36%,混合型,0.49亿元（2019-12-31）,2012-03-05,诺安基金
370011,上投摩根货币B,暂停申购,暂停申购,0.21%,0.61%,1.23%,2.38%,9.56%,48.10%,货币型,778.02亿元（2019-12-31）,2005-04-13,上投摩根基金
398001,中海优质成长混合,0.12%,100元起购,16.50%,41.58%,54.45%,86.69%,78.98%,768.57%,混合型,15.73亿元（2019-12-31）,2004-09-28,中海基金
410009,华富量子生命力混合,0.15%,100元起购,16.40%,27.87%,32.46%,45.95%,8.68%,23.36%,混合型,0.58亿元（2019-12-31）,2011-04-01,华富基金
410008,华富中证100指数,0.12%,100元起购,2.09%,5.89%,7.44%,26.27%,54.04%,62.23%,股票指数,2.42亿元（2019-12-31）,2009-12-30,华富基金
410007,华富价值增长混合,0.15%,100元起购,22.32%,44.13%,49.34%,78.25%,80.94%,228.83%,混合型,0.73亿元（2019-12-31）,2009-07-15,华富基金
395012,中海增强收益债券C,0.00%,1000元起购,2.43%,4.62%,5.97%,9.38%,10.98%,39.95%,债券型,0.55亿元（2019-12-31）,2011-03-23,中海基金
410006,华富策略精选混合,0.15%,100元起购,1.82%,3.28%,7.82%,22.81%,-3.91%,64.85%,混合型,1.08亿元（2019-12-31）,2008-12-24,华富基金
460108,华泰柏瑞稳健收益债券C,0.00%,100元起购,0.82%,1.86%,2.16%,4.06%,16.34%,44.61%,债券型,0.73亿元（2019-12-31）,2012-12-04,华泰柏瑞基金
410010,华富中小板指数增强,0.12%,100元起购,9.86%,23.57%,28.96%,31.74%,6.03%,39.96%,股票指数,0.26亿元（2019-12-31）,2011-12-09,华富基金
485014,工银添颐债券B,0.00%,100元起购,0.74%,3.33%,4.11%,4.65%,5.56%,105.00%,债券型,2.09亿元（2019-12-31）,2011-08-10,工银瑞信基金
460106,华泰柏瑞货币B,0.00%,5000000元起购,0.25%,0.70%,1.33%,2.62%,10.17%,39.74%,货币型,6.35亿元（2019-12-31）,2009-05-06,华泰柏瑞基金
485011,工银瑞信双利债券B,0.00%,100元起购,2.33%,3.88%,3.88%,8.60%,20.81%,101.15%,债券型,48.87亿元（2019-12-31）,2010-08-16,工银瑞信基金
485007,工银添利债券B,0.00%,100元起购,1.88%,4.84%,5.60%,7.04%,10.98%,101.02%,债券型,1.83亿元（2019-12-31）,2008-04-14,工银瑞信基金
485005,工银增强收益债券B,0.00%,100元起购,1.08%,4.22%,4.37%,3.36%,5.01%,110.98%,债券型,2.92亿元（2019-12-31）,2007-05-11,工银瑞信基金
501030,汇添富中证环境治理指数A,0.12%,100元起购,3.91%,8.11%,3.54%,1.88%,-42.31%,-42.03%,股票指数,0.52亿元（2019-12-31）,2016-12-29,汇添富基金
501029,华宝标普中国A股红利机会指数A,0.10%,100元起购,0.69%,6.49%,8.22%,6.53%,-0.11%,1.91%,股票指数,22.73亿元（2019-12-31）,2017-01-18,华宝基金
501028,财通多策略福瑞混合(LOF),0.15%,1000元起购,7.19%,12.95%,17.78%,30.02%,7.28%,7.90%,混合型,5.72亿元（2019-12-31）,2016-11-22,财通基金
501027,国泰融信(LOF),0.15%,100元起购,0.31%,3.36%,5.01%,4.50%,--,10.74%,混合型,2.22亿元（2019-12-31）,2017-03-02,国泰基金
501075,万家科创3年封闭混合A,1.50%,100元起购,12.03%,33.71%,32.89%,--,--,35.81%,混合型,10.95亿元（2019-12-31）,2019-06-12,万家基金
501073,华安科创主题混合,1.20%,100元起购,1.43%,3.16%,3.45%,--,--,5.36%,混合型,10.16亿元（2019-12-31）,2019-06-11,华安基金
501307,银河中证沪港深高股息A,0.10%,100元起购,-0.83%,0.35%,4.87%,-2.10%,--,-3.10%,股票指数,0.71亿元（2019-12-31）,2018-04-10,银河基金
501302,南方恒指ETF联接A,0.12%,100元起购,-2.13%,0.96%,2.72%,-0.68%,--,7.73%,联接基金,0.68亿元（2019-12-31）,2017-07-21,南方基金
510600,申万菱信上证50ETF,暂停申购,暂停申购,0.83%,2.20%,4.36%,19.29%,--,26.66%,ETF-场内,1.06亿元（2019-12-31）,2018-09-03,申万菱信基金
501306,汇添富中证港股通(LOF)C,0.00%,100元起购,-2.55%,-0.88%,5.44%,-4.52%,--,-9.06%,股票指数,0.72亿元（2019-12-31）,2017-11-24,汇添富基金
501305,汇添富中证港股通(LOF)A,0.10%,100元起购,-2.51%,-0.78%,5.64%,-4.16%,--,-8.29%,股票指数,0.73亿元（2019-12-31）,2017-11-24,汇添富基金
501303,广发恒生中型股指数A,0.12%,100元起购,0.28%,4.11%,8.70%,0.83%,--,-8.03%,股票指数,0.44亿元（2019-12-31）,2017-09-21,广发基金
510020,博时上证超大盘ETF,暂停申购,暂停申购,0.75%,3.72%,7.34%,12.76%,22.59%,10.35%,ETF-场内,2.01亿元（2019-12-31）,2009-12-29,博时基金
510010,交银上证180公司治理ETF,暂停申购,暂停申购,0.43%,2.61%,1.55%,9.45%,16.58%,31.47%,ETF-场内,3.52亿元（2019-12-31）,2009-09-25,交银施罗德基金
502058,广发医疗指数分级B,暂停申购,暂停申购,23.01%,27.81%,51.81%,126.34%,66.04%,-46.14%,分级杠杆,1.04亿元（2019-12-31）,2015-07-23,广发基金
511690,大成添益交易型货币E,暂停申购,暂停申购,0.23%,0.65%,1.24%,2.41%,9.95%,11.21%,货币型,21.09亿元（2019-12-31）,2016-09-29,大成基金
511670,华泰紫金天天金交易型货币A,暂停申购,暂停申购,0.23%,0.68%,1.36%,2.81%,--,8.31%,货币型,1.46亿元（2019-12-31）,2017-08-11,华泰证券(上海)
511660,建信现金添益货币H,暂停申购,暂停申购,0.22%,0.65%,1.27%,2.58%,10.48%,11.95%,货币型,106.24亿元（2019-12-31）,2016-09-02,建信基金
511650,华夏快线交易型货币,暂停申购,暂停申购,0.19%,0.62%,1.10%,2.12%,9.53%,10.12%,货币型,1.23亿元（2019-12-31）,2016-12-29,华夏基金
512260,华安中证低波动ETF,暂停申购,暂停申购,5.81%,12.43%,10.51%,14.96%,--,26.65%,ETF-场内,2.57亿元（2019-12-31）,2018-11-30,华安基金
511770,金鹰增益货币E,暂停申购,暂停申购,0.12%,0.30%,0.50%,1.15%,--,8.02%,货币型,0.16亿元（2019-12-31）,2017-03-20,金鹰基金
511700,平安交易型货币E,暂停申购,暂停申购,0.23%,0.72%,1.41%,2.81%,11.06%,12.35%,货币型,19.38亿元（2019-12-31）,2016-09-23,平安基金
511800,易方达货币E,暂停申购,暂停申购,0.20%,0.56%,1.14%,2.25%,8.87%,15.98%,货币型,5.49亿元（2019-12-31）,2014-11-24,易方达基金
515000,华宝中证科技龙头ETF,暂停申购,暂停申购,16.00%,36.53%,50.60%,--,--,63.04%,ETF-场内,71.77亿元（2019-12-31）,2019-07-22,华宝基金
512700,南方中证银行ETF,暂停申购,暂停申购,-2.23%,-2.34%,2.54%,14.24%,--,16.46%,ETF-场内,3.52亿元（2019-12-31）,2017-06-28,南方基金
513900,华安CES港股通ETF,暂停申购,暂停申购,-1.56%,2.44%,3.92%,0.59%,--,-0.17%,ETF-场内,0.42亿元（2019-12-31）,2018-04-27,华安基金
513880,华安日经225ETF,暂停申购,暂停申购,-1.41%,-1.71%,6.84%,--,--,6.39%,QDII-ETF,0.52亿元（2019-12-31）,2019-06-12,华安基金
513800,南方顶峰TOPIX-ETF,暂停申购,暂停申购,-2.83%,-3.98%,6.23%,--,--,7.04%,QDII-ETF,0.57亿元（2019-12-31）,2019-06-12,南方基金
513680,建信港股通恒生中国ETF,暂停申购,暂停申购,-1.75%,0.64%,3.58%,-6.86%,--,-2.82%,ETF-场内,0.07亿元（2019-12-31）,2018-12-13,建信基金
515010,华夏中证全指证券公司ETF,暂停申购,暂停申购,7.81%,19.28%,--,--,--,10.17%,ETF-场内,4.39亿元（2019-12-31）,2019-09-17,华夏基金
513660,华夏沪港通恒生ETF,暂停申购,暂停申购,-2.03%,1.17%,3.30%,0.08%,19.69%,34.56%,QDII-ETF,10.46亿元（2019-12-31）,2014-12-23,华夏基金
519024,海富通稳健添利债券A,0.08%,1000元起购,2.64%,4.54%,2.73%,2.05%,12.30%,50.97%,债券型,0.02亿元（2019-12-31）,2009-03-18,海富通基金
519023,海富通稳健添利债券C,0.00%,1000元起购,2.54%,4.40%,2.54%,1.51%,11.80%,51.98%,债券型,0.10亿元（2019-12-31）,2008-10-24,海富通基金
519021,国泰金鼎价值混合,0.15%,100元起购,7.77%,16.84%,27.10%,42.92%,28.08%,135.30%,混合型,10.59亿元（2019-12-31）,2007-04-11,国泰基金
519020,国泰金泰灵活配置混合A,0.15%,100元起购,5.84%,12.03%,15.34%,42.97%,26.05%,52.29%,混合型,2.12亿元（2019-12-31）,2012-12-24,国泰基金
519118,浦银安盛幸福回报定开债A,0.06%,100元起购,0.78%,1.64%,1.83%,3.40%,11.60%,48.65%,定开债券,1.47亿元（2019-12-31）,2012-09-18,浦银安盛基金
519117,浦银安盛基本面400指数,0.12%,100元起购,5.59%,13.26%,11.85%,16.27%,-6.77%,52.90%,股票指数,0.42亿元（2019-12-31）,2012-05-14,浦银安盛基金
519022,国泰金泰灵活配置混合C,暂停申购,暂停申购,5.83%,12.00%,15.28%,43.00%,27.40%,27.77%,混合型,1.04亿元（2019-12-31）,2015-11-17,国泰基金
519116,浦银安盛沪深300指数增强,0.12%,100元起购,3.48%,8.01%,10.39%,26.75%,41.26%,75.30%,股票指数,3.35亿元（2019-12-31）,2010-12-10,浦银安盛基金
519163,新华增怡债券C,0.00%,100元起购,-0.33%,0.14%,1.87%,5.16%,10.11%,50.97%,债券型,0.37亿元（2019-12-31）,2013-12-04,新华基金
519162,新华增怡债券A,0.08%,100元起购,-0.30%,0.25%,2.07%,5.59%,11.23%,47.94%,债券型,5.24亿元（2019-12-31）,2013-12-04,新华基金
519161,新华安享惠金定期债券C,0.00%,100元起购,0.19%,1.05%,2.52%,3.78%,14.23%,68.73%,定开债券,0.11亿元（2019-12-31）,2013-11-13,新华基金
519160,新华安享惠金定期债券A,0.06%,100元起购,0.28%,1.22%,2.66%,4.08%,15.47%,72.74%,定开债券,27.76亿元（2019-12-31）,2013-11-13,新华基金
519322,浦银安盛盛元定开债A,暂停申购,暂停申购,1.18%,2.54%,3.61%,5.96%,18.82%,21.34%,定开债券,92.89亿元（2019-12-31）,2016-07-22,浦银安盛基金
519321,浦银安盛幸福聚利定开债C,0.00%,100元起购,0.83%,1.77%,1.67%,3.57%,9.83%,9.83%,定开债券,0.02亿元（2019-12-31）,2016-05-04,浦银安盛基金
519320,浦银安盛幸福聚利定开债A,0.06%,100元起购,0.83%,1.86%,1.86%,3.90%,11.02%,11.24%,定开债券,0.39亿元（2019-12-31）,2016-05-04,浦银安盛基金
519300,大成沪深300指数A,0.12%,100元起购,3.02%,7.81%,8.77%,17.70%,18.41%,224.87%,股票指数,20.52亿元（2019-12-31）,2006-04-06,大成基金
519601,海富通中国海外混合,0.15%,100元起购,3.20%,12.21%,16.38%,21.51%,41.14%,157.01%,QDII,1.53亿元（2019-12-31）,2008-06-27,海富通基金
519588,交银货币A,0.00%,100元起购,0.19%,0.58%,1.13%,2.13%,8.69%,49.26%,货币型,2.40亿元（2019-12-31）,2006-01-20,交银施罗德基金
519589,交银货币B,0.00%,5000000元起购,0.22%,0.64%,1.26%,2.37%,9.47%,49.59%,货币型,0.83亿元（2019-12-31）,2007-06-22,交银施罗德基金
519648,银河泰利纯债I,暂停申购,暂停申购,0.00%,0.00%,0.00%,-5.12%,0.43%,2.64%,债券型,2.60亿元（2019-06-30）,2015-11-18,银河基金
519646,银河鑫利混合I,暂停申购,暂停申购,3.45%,6.75%,8.27%,13.90%,12.44%,14.01%,混合型,2.21亿元（2019-12-31）,2015-11-16,银河基金
519644,银河智联混合,0.15%,100元起购,14.52%,29.49%,42.10%,79.12%,94.62%,66.40%,混合型,0.88亿元（2019-12-31）,2015-12-17,银河基金
519647,银河鸿利混合I,暂停申购,暂停申购,1.83%,3.29%,4.44%,9.48%,16.52%,20.37%,混合型,5.06亿元（2019-12-31）,2015-11-16,银河基金
519680,交银增利债券A/B,0.08%,100元起购,2.30%,3.71%,4.49%,7.10%,18.17%,103.82%,债券型,3.79亿元（2019-12-31）,2008-03-31,交银施罗德基金
519679,银河主题混合,0.60%,100元起购,19.61%,37.27%,47.53%,78.45%,63.94%,491.35%,混合型,6.18亿元（2019-12-31）,2012-09-21,银河基金
519678,银河消费混合,0.15%,100元起购,5.98%,4.51%,6.54%,35.33%,23.92%,80.80%,混合型,0.69亿元（2019-12-31）,2011-07-29,银河基金
519642,银河智造混合,0.15%,100元起购,23.38%,44.15%,58.87%,89.51%,108.20%,113.20%,混合型,0.98亿元（2019-12-31）,2016-03-11,银河基金
519748,交银丰享收益债券C,0.00%,100元起购,0.64%,1.58%,2.24%,3.89%,10.32%,25.40%,债券型,0.09亿元（2019-12-31）,2015-01-19,交银施罗德基金
519746,交银丰享收益债券A,0.08%,100元起购,0.76%,1.78%,2.52%,4.35%,119.48%,120.13%,债券型,10.48亿元（2019-12-31）,2017-01-20,交银施罗德基金
519745,交银丰润收益债券C,0.00%,100元起购,0.64%,1.46%,1.96%,3.21%,7.67%,22.07%,债券型,0.01亿元（2019-12-31）,2014-12-15,交银施罗德基金
519743,交银丰润收益债券A/B,0.08%,100元起购,0.68%,1.55%,2.16%,3.61%,12.68%,29.27%,债券型,34.22亿元（2019-12-31）,2014-12-15,交银施罗德基金
519740,交银丰盈收益债券A,0.03%,100元起购,0.73%,1.85%,2.23%,2.99%,8.89%,30.61%,债券型,0.32亿元（2019-12-31）,2014-08-11,交银施罗德基金
519935,长信创新驱动股票,0.15%,100元起购,21.37%,44.08%,46.70%,64.48%,78.69%,77.80%,股票型,0.23亿元（2019-12-31）,2016-09-29,长信基金
519933,长信利发债券,0.08%,100元起购,4.08%,6.24%,7.12%,25.26%,28.41%,29.70%,债券型,4.83亿元（2019-12-31）,2016-06-28,长信基金
519929,长信电子信息行业量化混合,0.15%,100元起购,22.20%,53.58%,58.67%,80.29%,30.40%,24.40%,混合型,3.12亿元（2019-12-31）,2016-07-27,长信基金
530005,建信优化配置混合,0.15%,100元起购,3.67%,10.96%,13.15%,32.24%,22.55%,136.34%,混合型,19.82亿元（2019-12-31）,2007-03-01,建信基金
530003,建信优选成长混合A,0.15%,100元起购,6.68%,14.67%,19.56%,28.28%,32.57%,428.65%,混合型,19.10亿元（2019-12-31）,2006-09-08,建信基金
530002,建信货币A,0.00%,100元起购,0.22%,0.67%,1.29%,2.62%,10.19%,55.28%,货币型,32.50亿元（2019-12-31）,2006-04-25,建信基金
531021,建信纯债债券C,0.00%,100元起购,0.89%,1.90%,2.29%,4.24%,15.83%,36.45%,债券型,8.13亿元（2019-12-31）,2012-11-15,建信基金
531020,建信转债增强债券C,0.00%,100元起购,9.14%,17.02%,16.52%,18.00%,11.54%,168.80%,债券型,0.68亿元（2019-12-31）,2012-05-29,建信基金
531014,建信双周理财B,0.00%,5000000元起购,0.23%,0.69%,1.38%,2.82%,11.70%,34.09%,理财型,78.67亿元（2019-12-31）,2012-08-28,建信基金
531017,建信双息红利债券C,0.00%,100元起购,3.30%,5.63%,5.82%,8.55%,9.22%,55.64%,债券型,0.34亿元（2019-12-31）,2014-09-01,建信基金
570007,诺德优选30混合,0.15%,100元起购,9.87%,14.09%,17.58%,23.50%,31.57%,69.20%,混合型,0.43亿元（2019-12-31）,2011-05-05,诺德基金
531028,建信短债债券A,0.03%,100元起购,0.33%,--,--,--,--,0.46%,债券型,57.97亿元（2019-12-31）,2012-12-20,建信基金
570006,诺德中小盘混合,0.15%,100元起购,22.86%,40.22%,55.30%,66.09%,57.70%,161.53%,混合型,0.42亿元（2019-12-31）,2010-06-28,诺德基金
570005,诺德成长优势混合,0.15%,100元起购,1.68%,4.58%,8.48%,19.74%,36.18%,235.30%,混合型,16.54亿元（2019-12-31）,2009-09-22,诺德基金
620001,金元顺安宝石动力混合,0.15%,100元起购,1.15%,2.48%,1.95%,7.29%,17.89%,25.02%,混合型,1.29亿元（2019-12-31）,2007-08-15,金元顺安基金
610108,信达澳银信用债债券C,0.00%,100元起购,5.51%,9.42%,11.12%,16.15%,18.48%,36.01%,债券型,0.06亿元（2019-12-31）,2013-05-14,信达澳银基金
610103,信达澳银稳定价值债券B,0.00%,100元起购,0.70%,1.40%,-0.59%,0.36%,5.75%,59.08%,债券型,0.04亿元（2019-12-31）,2009-04-08,信达澳银基金
610008,信达澳银信用债债券A,0.08%,100元起购,5.53%,9.46%,11.21%,16.29%,19.58%,39.79%,债券型,5.07亿元（2019-12-31）,2013-05-14,信达澳银基金
610007,信达澳银消费优选混合,0.15%,100元起购,5.95%,12.38%,19.65%,35.46%,6.82%,90.26%,混合型,0.36亿元（2019-12-31）,2012-09-04,信达澳银基金
660010,农银策略精选混合,0.15%,100元起购,14.63%,27.04%,29.67%,48.05%,85.30%,59.80%,混合型,17.85亿元（2019-12-31）,2011-09-06,农银汇理基金
660009,农银增强收益债券A,0.08%,100元起购,1.65%,4.18%,4.64%,6.97%,14.94%,75.02%,债券型,0.28亿元（2019-12-31）,2011-07-01,农银汇理基金
660008,农银沪深300指数A,0.12%,100元起购,3.12%,6.98%,7.82%,19.42%,25.43%,42.90%,股票指数,8.46亿元（2019-12-31）,2011-04-12,农银汇理基金
675013,西部利得稳健双利债券C,0.00%,100元起购,6.25%,15.63%,19.47%,22.73%,33.19%,41.58%,债券型,0.22亿元（2019-12-31）,2012-06-26,西部利得基金
675011,西部利得稳健双利债券A,0.08%,100元起购,6.28%,15.78%,19.72%,23.32%,35.30%,46.66%,债券型,0.42亿元（2019-12-31）,2012-06-26,西部利得基金
673143,西部利得景程混合C,0.00%,100元起购,3.52%,4.87%,5.17%,10.08%,--,17.90%,混合型,0.01亿元（2019-12-31）,2018-06-20,西部利得基金
673141,西部利得景程混合A,0.08%,100元起购,3.53%,4.91%,5.24%,10.15%,--,18.00%,混合型,0.69亿元（2019-12-31）,2018-06-20,西部利得基金
690009,民生加银红利回报混合,0.15%,1000元起购,3.34%,9.06%,12.13%,32.07%,36.35%,178.93%,混合型,0.87亿元（2019-12-31）,2012-08-09,民生加银基金
690008,民生中证内地资源主题指数,0.12%,100元起购,1.75%,9.78%,4.75%,1.75%,-12.21%,-36.00%,股票指数,0.84亿元（2019-12-31）,2012-03-08,民生加银基金
690007,民生加银景气行业混合,0.15%,100元起购,5.57%,11.69%,15.19%,46.00%,63.72%,241.20%,混合型,16.61亿元（2019-12-31）,2011-11-22,民生加银基金
690006,民生加银信用双利债券A,0.08%,1000元起购,3.99%,8.09%,9.58%,7.53%,6.44%,71.80%,债券型,6.74亿元（2019-12-31）,2012-04-25,民生加银基金
750003,安信目标收益债券C,0.00%,100元起购,0.75%,2.76%,3.32%,6.40%,16.34%,51.49%,债券型,0.11亿元（2019-12-31）,2012-09-25,安信基金
750001,安信灵活配置混合,0.15%,100元起购,6.02%,12.36%,19.32%,42.22%,39.08%,132.94%,混合型,1.69亿元（2019-12-31）,2012-06-20,安信基金
750002,安信目标收益债券A,0.08%,100元起购,0.83%,2.83%,3.48%,6.74%,17.76%,56.42%,债券型,1.60亿元（2019-12-31）,2012-09-25,安信基金
740602,长安货币B,0.00%,5000000元起购,0.22%,0.64%,1.24%,2.45%,10.32%,29.32%,货币型,10.81亿元（2019-12-31）,2013-01-25,长安基金
952099,国泰君安君得鑫混合C,1.50%,1000元起购,5.15%,--,--,--,--,3.99%,混合型,--亿元（--）,2020-01-06,国泰君安资产管理
